Journey,Scenario,Recommended Error Message,Error Message Copy (English),Error Message Copy (Hindi),,,,Error Message Copy (Gujrati),,,,,,,Error Message Copy (Marathi),,,,,,,Error Message Copy (Bengali),,,,,,,Error Message Copy (Arabic),,,,,,
Height & Weight,Face missing after prompt,Please stand in front of the screen and remain still.,Please stand facing the screen.,????? ??????? ?? ?? ????? ???? ????,,,,???? ????? ??????? ??? ????? ??? ???.,,,,,,,????? ?????????? ????? ??? ?????,,,,,,,??????? ??? ????????? ???? ??? ??? ????????,,,,,,,????? ?????? ???? ????? ??????.,,,,,,
Height & Weight,No user detected,No one detected. Returning to the home screen.,Are you still there?,???? ?? ??? ?? ??????? ?? ????,,,,??? ??? ??? ?? ?????? ?? ???,,,,,,,?????? ?????? ???????? ??? ???? ???,,,,,,,???? ?? ???? ???????? ?????,,,,,,,?? ?? ??? ??????? ???? ??????,,,,,,
Height & Weight,Weight not detected,Stand fully on the platform and stay still.,Stand fully on the platform and stay still.,????? ?????????? ?? ????? ??? ???? ??? ?? ??????? ????? ?????,,,,???? ????? ?????????? ?? ????? ??? ??? ??? ?????? ????? ???.,,,,,,,????? ???????????? ????????? ??? ???? ??? ?????? ??? ????,,,,,,,??????? ??? ????????????? ??? ??????? ??????? ??? ???? ????? ??????,,,,,,,????? ?????? ??????? ??? ?????? ??????? ??????.,,,,,,
Height & Weight,Face missing while measuring weight,Please face the screen while standing on the kiosk.,"Sorry, I couldn't complete the scan.
Please stand on the footprints, look directly at the camera, and try again.",??? ???? ????? ???? ?? ?? ??? ???? ????? ????? ?? ????? ?? ???? ???? ???? ?? ????? ?? ???? ???? ?????? ??? ?????? ????? ?? ??? ????,,,,"????? ????? ? ????.
???? ??? ????? ????? ?? ??? ???, ?????? ???? ???, ??? ??? ????? ???.",,,,,,,"????? ????? ??? ???? ????.
????? ????????? ?????? ??? ???, ??????????? ???, ??? ?????? ??????? ???.",,,,,,,"??? ?????? ??????? ???? ????? ??? ??????? ??? ?????? ??????? ??? ???? ???? ???????, ????????? ???? ?????? ??? ???? ?????? ?????",,,,,,,"?????? ??? ????????. ?????? ??? ????. ?? ?????? ????? ?????. ????? ?????? ??? ?????? ???????? ??????",,,,,,
Height & Weight,Height not detected,Stand up straight so we can measure your height.,"Stay still, I am measuring your height","????? ????? ????, ??? ???? ????? ??? ??? ????",,,,???? ????? ????? ???. ??? ????? ????? ???? ??? ???.,,,,,,,????? ????? ??? ????. ?? ????? ???? ???? ????,,,,,,,"??????? ??? ????? ?????, ??? ????? ?????? ??????",,,,,,,"????? ?????? ??????? ???? ???? ????? ????.",,,,,,
Height & Weight,Shoes/Socks preventing impedance,"Please remove your shoes and socks, then press Start.","""It looks like you have your shoes/socks on.
For the most accurate results, we recommend removing them. 
Would you still like to continue with your shoes or socks on?""","??? ?? ??? ?? ?? ???? ????/????? ???? ??? ????
??? ??????? ?? ???, ?? ???? ???? ??? ?? ?? ?????? ???? ????
???? ?? ???? ?? ????? ???? ??? ?? ????? ???? ???? ????????",,,,"???? ???? ?? ?? ??? ?????/????? ???????? ??.
???? ???? ?????? ????, ??? ???? ???? ??? ?? ??? ? ???? ????.
??? ??? ????? ???? ????? ??????? ? ????? ???? ????? ????? ???",,,,,,,"??? ?????? ?? ?????? ???/???? ????? ????.
?????? ???? ??????????, ????? ????? ???? ?? ?????? ?? ????? ????.
???????? ??? ????? ???? ????????? ???????? ????? ???? ??????? ??? ???",,,,,,,"??? ????? ???? ????-???? ??? ????? ??????? ???? ??????? ???? ?????? ???????, ???? ????-???? ???? ?????? ???? ?? ????-???? ??? ????????? ??????? ??????? ???? ????",,,,,,,"???????. ?? ???? ?? ?????? ????? ???? ????? ?????? ?? ???????? ???? ??? ????? ????? ?? ?????. ?????? ??? ??? ???????? ????",,,,,,
Height & Weight,User inactive before retry,Press Start when you're ready.,Press 'Start' once you are ready.,"?? ?? ????? ???, 'Start' ??? ??????",,,,"?????? ??? ????? ??, ?????? Start ??? ?????.",,,,,,,???? ???????? Start ??? ?????,,,,,,,"???????? ???? ""Start"" ?????? ??????",,,,,,,"????? ???? ??????? ???? ??? ?? Start.",,,,,,
Height & Weight,No response after inactivity,Session ended due to inactivity. Returning home.,I am unable to detect any activity. Redirecting to Homescreen.,???? ??? ????????? ???? ??? ???? ???? ?????????? ?? ???? ???? ?? ??? ???,,,,??? ??? ???????? ??????? ???. ?????????? ?? ???? ????????? ??? ??.,,,,,,,??? ??????? ?????? ???? ????. ???????????? ??? ?????? ??? ???.,,,,,,,??? ???? ????????? ????? ?????? ??? ?????? ??????? ??? ???????? ??????? ????? ?????? ??????,,,,,,,?? ????? ?? ????. ???? ?????? ??? ?????? ????????.,,,,,,
Height & Weight,Still no face detected,Please stand in front of the screen to continue.,Please stand facing the screen.,????? ??????? ?? ?? ????? ???? ????,,,,???? ????? ??????? ??? ????? ??? ???,,,,,,,????? ?????????? ????? ??? ?????,,,,,,,??????? ??? ????????? ???? ??? ??? ????????,,,,,,,????? ?????? ???? ????? ??????.,,,,,,
Height & Weight,"No response after ""Are you still there?""",No response received. Returning to the home screen.,I am unable to detect any activity. Redirecting to Homescreen.,???? ??? ????????? ???? ??? ???? ???? ?????????? ?? ???? ???? ?? ??? ???,,,,??? ??? ???????? ??????? ???. ?????????? ?? ???? ????????? ??? ??.,,,,,,,??? ??????? ?????? ???? ????. ???????????? ??? ?????? ??? ???.,,,,,,,??? ???? ????????? ????? ?????? ??? ?????? ??????? ??? ???????? ??????? ????? ?????? ??????,,,,,,,?? ????? ?? ????. ???? ?????? ??? ?????? ????????.,,,,,,
Height & Weight,Leg impedance missing after retry,Please remove your shoes and socks for a complete scan.,Please remove your shoes and socks for a complete scan.,???? ????? ???? ?? ??? ????? ???? ???? ?? ????? ???? ????,,,,????? ????? ???? ???? ????? ????? ????? ??? ????? ????? ??.,,,,,,,????? ????????? ????? ????? ??? ??? ???? ?????,,,,,,,???????? ????????? ???? ??????? ??? ????? ???? ? ???? ???? ??????,,,,,,,"?????? ????? ??????? ????? ??? ?????? ????????.",,,,,,
BIA Scan,Initial instruction,Hold both handles firmly until the scan is complete.,Hold both handles firmly until the scan is complete.,????? ???? ???? ?? ????? ????? ??????? ?? ?????? ?????,,,,????? ????? ??? ????? ???? ???? ?????? ???????? ???? ????.,,,,,,,????? ????? ????????? ?????? ???? ???? ????? ?????,,,,,,,??????? ??? ?? ????? ??????? ??'?? ????????? ???? ??? ??? ??????,,,,,,,????? ??????? ????????? ?????? ??? ????? ?????.,,,,,,
BIA,Complete impedance not detected,Hold the handles firmly and keep still.,Hold the handles firmly and keep still.,????? ????? ????? ??????? ?? ?????? ?? ??????? ????? ?????,,,,???? ????? ???? ?????? ???????? ???? ??? ?????? ????? ???.,,,,,,,????? ?????? ???? ???? ???? ??? ?????? ??? ????,,,,,,,??????? ??? ??'?? ????????? ???? ??? ???? ??? ???? ????? ??????,,,,,,,????? ??????? ????????? ?????? ??????? ??????.,,,,,,
BIA,Retry after impedance failure,We're trying again. Keep holding the handles firmly.,We're trying again. Keep holding the handles firmly.,?? ??? ?? ????? ?? ??? ???? ????? ????? ????? ??????? ?? ????? ?????,,,,??? ??? ?????? ??? ????? ???. ???? ????? ???? ?????? ???????? ???? ????.,,,,,,,????? ?????? ??????? ??? ????. ????? ?????? ???? ???? ????? ?????,,,,,,,???? ???? ?????? ????? ??????? ??? ??'?? ????????? ???? ??? ??? ??????,,,,,,,?????? ??? ????. ????? ????????? ?? ??????? ????????? ??????.,,,,,,
BIA,Hand impedance not detected,Grip both handles with your full palms.,Hold both handles firmly with your palm to continue the scan.,????? ???? ???? ?? ??? ???? ????? ???????? ?? ????? ??????? ?? ???????,,,,????? ???? ????? ???? ???? ???????? ?????? ???????? ????.,,,,,,,????? ???? ??????????? ?????? ????????? ???? ???? ?????,,,,,,,??????? ??????? ???? ??'????? ???? ????? ????????? ??'?? ???? ??? ?????,,,,,,,"??????? ?????? ???? ????????? ?????? ????? ????.",,,,,,
BIA,Hand + body impedance still not detected,Keep both hands on the handles and avoid moving.,Keep both hands on the handles and stay still,????? ????? ??? ????? ?? ???? ?? ??????? ????? ?????,,,,???? ????? ???? ??? ?????? ?? ???? ??? ?????? ????? ???.,,,,,,,????? ?????? ??? ?????? ???? ??? ?????? ??? ????,,,,,,,??????? ??? ??'??? ??????????? ??? ????? ??? ???? ????? ??????,,,,,,,????? ????? ???? ???? ??? ???????? ??????? ??????.,,,,,,
BIA,BIA rods not held correctly,Hold both handles tightly to continue the scan.,Hold both handles firmly to continue the scan.,????? ???? ???? ?? ??? ????? ????? ??????? ?? ???????,,,,????? ???? ????? ???? ???? ?????? ???????? ????.,,,,,,,????? ???? ??????????? ?????? ???? ???? ?????,,,,,,,??????? ??????? ???? ??'?? ????????? ???? ??? ?????,,,,,,,"??????? ?????? ???? ????????? ??????.",,,,,,
BIA,Maximum retries reached,We'll continue with the measurements we have.,"I couldn't get stable readings, moving to next scan",???? ??? ?????? ???? ??? ???? ?? ???? ????? ?? ???? ????,,,,??? ????? ?????? ??? ???. ??? ???? ????? ????? ??? ?? ????? ???.?.,,,,,,,??? ????? ?????? ?????? ????. ??? ????? ???????? ??????,,,,,,,??? ???? ????? ???? ??????? ???? ???? ???? ???????? ?????? ???????,,,,,,,??????. ?? ????? ?? ?????? ??? ?????? ??????. ?????? ???? ??? ?????,,,,,,
,,,et,is it need to show if all attempts will failed? before moving to next scan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
